Name,Weight
叶文洁,478
史强,160
杨卫宁,78
三体元首,77
智子,77
丁仪,55
申玉菲,50
潘寒,47
伊文斯,37
杨冬,35
雷志成,35
秦始皇,35
常伟思,33
魏成,30
叶哲泰,30
白沐霖,29
牛顿,29
沙瑞山,25
