Name,Weight
程心,1470
罗辑,1305
史强,518
叶文洁,505
智子,454
艾AA,349
章北海,316
云天明,299
关一帆,262
维德,207
雷迪亚兹,200
丁仪,183
希恩斯,175
泰勒,153
庄颜,131
常伟思,94
伊文斯,87
山杉惠子,86
东方延绪,84
三体元首,79
杨卫宁,78
杨冬,65
吴岳,61
秦始皇,59
周文王,56
萨伊,53
瓦季姆,53
申玉菲,50
潘寒,47
牛顿,46
张援朝,43
弗雷斯,38
雷志成,35
伽尔宁,35
魏成,30
叶哲泰,30
史晓明,30
